ls1 (mm),ls2 (mm),ls3 (mm),ws1 (mm),ws2 (mm),ws3 (mm),Frequency 1 (GHz),S11 1 (dB),Frequency 2 (GHz),S11 2 (dB),Frequency 3 (GHz),S11 3 (dB)
7.75,9.25,8,0.5,2,0.25,2.45,-13.3940505203662,5.2,-18.3616598652001,5.85,-11.8263765320345
7.75,9.25,8,0.75,2,0.25,2.4,-19.0413627639272,5.15,-20.0474045170916,5.85,-12.0831120535913
7.75,9.25,8,1,2,0.25,2.4,-20.1319015317515,5.1,-15.9986077000669,5.8,-13.5442470796126
8,9.25,8,0.5,2,0.25,2.4,-13.5947546083764,5.05,-19.6579593810471,5.7,-14.500826219291
8,9.25,8,0.75,2,0.25,2.4,-21.1431622129854,5.05,-20.3300276916057,5.7,-14.2194409741813
8,9.25,8,1,2,0.25,2.4,-16.0865391247808,5.15,-21.7702446388065,5.8,-12.9815437304976
7.5,9.5,8,0.5,1.5,0.25,2.4,-13.4601576558902,5.25,-13.4628445071817,5.75,-12.1684210477878
7.5,9.5,8,0.75,1.5,0.25,2.4,-16.4537876900972,5.65,-14.2332893251314,,
7.5,9.5,8,1,1.5,0.25,2.4,-14.3448686526174,5.2,-14.3551861588452,5.75,-12.4745603628348
7.75,9.5,8,0.5,1.5,0.25,2.4,-16.2656624512539,5.2,-17.6858136193488,5.7,-13.2393139598217
7.75,9.5,8,0.75,1.5,0.25,2.4,-18.0708307790751,5.2,-17.714048256753,5.7,-13.9196054888444
7.75,9.5,8,1,1.5,0.25,2.35,-15.7407018346459,5.2,-21.1699413063792,5.65,-13.8382689834937
8,9.5,8,0.5,1.5,0.25,2.4,-19.5453589484412,5.15,-20.2050706838696,5.7,-13.6665530304689
8,9.5,8,0.75,1.5,0.25,2.4,-16.546751465227,5.15,-17.8198894108546,5.7,-15.006271101013
8,9.5,8,1,1.5,0.25,2.35,-26.2202946595314,5.2,-27.6461875200297,5.7,-14.6292939148279
7.5,9.5,8,0.5,1.75,0.25,2.4,-11.3518454828567,5.15,-22.4386697319321,,
7.5,9.5,8,0.75,1.75,0.25,2.4,-14.0399949177983,5.2,-14.9262080454677,5.75,-12.2437629494542
7.5,9.5,8,1,1.75,0.25,2.35,-18.8739334178951,5.2,-16.1165570568704,5.75,-12.2611849948487
7.75,9.5,8,0.5,1.75,0.25,2.4,-14.9876004513694,5.2,-17.9940580997244,5.75,-12.6132312878534
